# Wavelength Flux
4658.968656 13.705744
4660.040875 13.702129
4661.115944 13.698507
4662.188164 13.694896
4663.260383 13.691287
4664.335452 13.687670
4665.408621 13.684061
4666.484639 13.680444
4667.557809 13.676839
4668.634777 13.673223
4669.708896 13.669618
4670.784914 13.666008
4671.859983 13.662404
4672.935051 13.658801
4674.012019 13.655193
4675.087088 13.651594
4676.165006 13.647987
4677.241024 13.644388
4678.319892 13.640782
4679.395910 13.637186
4680.472878 13.633590
4681.551746 13.629989
4682.628714 13.626395
4683.708531 13.622795
4684.786449 13.619202
4685.866266 13.615605
4686.944184 13.612015
4688.022102 13.608428
4689.102868 13.604833
4690.182686 13.601243
4691.263453 13.597651
4692.343270 13.594064
4693.424986 13.590473
4694.504804 13.586890
4695.584621 13.583309
4696.667287 13.579720
4697.748054 13.576139
4698.831670 13.572550
4699.912437 13.568973
4700.996053 13.565388
4702.077770 13.561811
4703.159486 13.558236
4704.244052 13.554653
4705.325769 13.551081
4706.411284 13.547498
4707.493950 13.543927
4708.579466 13.540348
4709.662132 13.536780
4710.745748 13.533211
4711.832213 13.529634
4712.915829 13.526069
4714.003244 13.522493
4715.086860 13.518930
4716.174275 13.515358
4717.259791 13.511793
4718.344356 13.508233
4719.432721 13.504662
4720.518236 13.501103
4721.607551 13.497532
4722.693066 13.493976
4723.782380 13.490410
4724.868845 13.486854
4725.956260 13.483297
4727.045575 13.479736
4728.132989 13.476182
4729.223253 13.472621
4730.311618 13.469068
4731.401882 13.465511
4732.490247 13.461961
4733.579561 13.458410
4734.670774 13.454855
4735.760089 13.451308
4736.852252 13.447753
4737.941566 13.444209
4739.034680 13.440654
4740.124943 13.437111
4741.215207 13.433569
4742.308321 13.430020
4743.399534 13.426479
4744.493597 13.422930
4745.584811 13.419392
4746.678874 13.415847
4747.771037 13.412310
4748.863200 13.408774
4749.958213 13.405231
4751.050376 13.401699
4752.146338 13.398156
4753.239452 13.394624
4754.335414 13.391085
4755.429477 13.387554
4756.526389 13.384015
4757.620451 13.380487
4758.714514 13.376961
4759.812376 13.373425
4760.907388 13.369899
4762.005250 13.366366
4763.100262 13.362844
4764.199074 13.359311
4765.295036 13.355790
4766.390998 13.352270
4767.490759 13.348739
4768.586722 13.345223
4769.686483 13.341696
4770.784344 13.338177
4771.884105 13.334653
4772.981967 13.331138
4774.079829 13.327624
4775.180539 13.324103
4776.279351 13.320589
4777.381011 13.317068
4778.479823 13.313558
4779.581483 13.310041
4780.681244 13.306532
4781.781005 13.303024
4782.883615 13.299509
4783.984326 13.296002
4785.086936 13.292491
4786.188597 13.288985
4787.292157 13.285475
4788.392867 13.281977
4789.494528 13.278478
4790.599037 13.274974
4791.700698 13.271483
4792.806157 13.267985
4793.908767 13.264503
4795.014227 13.261021
4796.116837 13.257560
4797.220397 13.254112
4798.326806 13.250678
4799.430366 13.247283
4800.536775 13.243920
4801.641284 13.240620
4802.748643 13.237388
4803.854102 13.234265
4804.958612 13.231283
4806.066920 13.228475
4807.172379 13.225919
4808.280688 13.223678
4809.387097 13.221859
4810.496355 13.220580
4811.602764 13.220003
4812.710123 13.220316
4813.819381 13.221761
4814.926740 13.224622
4816.036947 13.229270
4817.145256 13.236101
4818.256413 13.245647
4819.364722 13.258440
4820.473030 13.275174
4821.585137 13.296701
4822.693446 13.323749
4823.805553 13.357484
4824.915761 13.398831
4826.028818 13.449171
4827.139026 13.509510
4828.249234 13.581274
4829.362291 13.666060
4830.473448 13.764901
4831.587455 13.879603
4832.698612 14.010892
4833.812619 14.160678
4834.924726 14.329510
4836.037783 14.518960
4837.152740 14.730437
4838.264847 14.964468
4839.380753 15.224635
4840.494760 15.513060
4841.610666 15.836128
4842.724672 16.201033
4843.841528 16.621467
4844.955535 17.111929
4846.070491 17.694222
4847.187347 18.392262
4848.302303 19.226191
4849.421058 20.217882
4850.536015 21.366385
4851.654770 22.667638
4852.770676 24.070448
4853.887532 25.349034
4855.006287 25.293346
4856.123143 21.444883
4857.242848 15.120669
4858.360653 14.379882
4859.481308 23.194651
4860.599113 34.163705
4861.716919 38.128205
4862.837573 35.194802
4863.957278 30.997492
4865.077933 28.017065
4866.197638 25.776312
4867.320192 23.864724
4868.438947 22.262956
4869.559602 20.946421
4870.682156 19.869184
4871.802810 18.984675
4872.926314 18.248652
4874.046969 17.632820
4875.171422 17.107111
4876.293026 16.652707
4877.414631 16.251307
4878.539084 15.889780
4879.661638 15.561461
4880.787041 15.259938
4881.909595 14.983773
4883.035948 14.729714
4884.158502 14.498565
4885.282006 14.288614
4886.409309 14.098814
4887.532812 13.929740
4888.660115 13.779197
4889.784568 13.646965
4890.912821 13.531010
4892.037274 13.430756
4893.162677 13.344353
4894.290930 13.270249
4895.417282 13.207353
4896.546484 13.154064
4897.672837 13.109380
4898.802039 13.071920
4899.928392 13.040775
4901.055695 13.014853
4902.185846 12.993278
4903.314099 12.975396
4904.445200 12.960495
4905.573452 12.948082
4906.703604 12.937628
4907.832806 12.928770
4908.962008 12.921172
4910.094059 12.914557
4911.223261 12.908735
4912.356262 12.903497
4913.486413 12.898736
4914.619414 12.894319
4915.749566 12.890181
4916.880667 12.886242
4918.014618 12.882443
4919.145719 12.878766
4920.279670 12.875162
4921.411721 12.871625
4922.546621 12.868123
4923.678672 12.864661
4924.811673 12.861220
4925.947523 12.857788
4927.081473 12.854373
4928.217323 12.850961
4929.351274 12.847562
4930.487124 12.844163
4931.622024 12.840770
4932.758824 12.837375
4933.893724 12.833989
4935.028624 12.830604
4936.166374 12.827214
4937.302223 12.823831
4938.440923 12.820441
4939.576772 12.817062
4940.715471 12.813676
4941.852271 12.810297
4942.989071 12.806920
4944.129669 12.803534
4945.266469 12.800160
4946.407067 12.796777
4947.544817 12.793404
4948.686365 12.790021
4949.824114 12.786652
4950.962813 12.783281
4952.104361 12.779903
4953.244010 12.776533
4954.385558 12.773159
4955.526157 12.769789
4956.668655 12.766415
4957.808303 12.763051
4958.949852 12.759684
4960.093299 12.756312
4961.233898 12.752951
4962.378295 12.749580
4963.519843 12.746219
4964.664240 12.742851
4965.805789 12.739493
4966.949236 12.736132
4968.094583 12.732766
4969.237081 12.729411
4970.382428 12.726049
4971.525876 12.722694
4972.672172 12.719332
4973.816570 12.715978
4974.960967 12.712625
4976.108213 12.709266
4977.252611 12.705916
4978.400807 12.702557
4979.546154 12.699208
4980.694350 12.695853
4981.839697 12.692507
4982.985994 12.689160
4984.135140 12.685807
4985.281436 12.682464
4986.431532 12.679111
4987.578778 12.675768
4988.728874 12.672418
4989.876120 12.669079
4991.024316 12.665738
4992.175362 12.662391
4993.323558 12.659054
4994.474603 12.655709
4995.623749 12.652373
4996.775744 12.649029
4997.925839 12.645693
4999.074985 12.642361
5000.227930 12.639020
5001.378025 12.635688
5002.531920 12.632348
5003.682015 12.629020
5004.835910 12.625682
5005.986955 12.622355
5007.138950 12.619026
5008.293794 12.615691
5009.445789 12.612365
5010.600633 12.609034
5011.753578 12.605709
5012.909371 12.602377
5014.062316 12.599056
5015.219059 12.595725
5016.372954 12.592404
5017.526848 12.589085
5018.683592 12.585759
5019.838436 12.582440
5020.996129 12.579115
5022.150973 12.575799
5023.308666 12.572477
5024.464460 12.569162
5025.620254 12.565849
5026.779846 12.562527
5027.935640 12.559217
5029.095233 12.555897
5030.251976 12.552588
5031.411569 12.549272
5032.569262 12.545963
5033.726955 12.542656
5034.888447 12.539339
5036.046141 12.536035
5037.207633 12.532722
5038.366276 12.529418
5039.527768 12.526108
5040.687360 12.522806
5041.846953 12.519504
5043.009395 12.516197
5044.169937 12.512896
5045.333328 12.509589
5046.493871 12.506291
5047.657262 12.502987
5048.818754 12.499690
5049.980246 12.496395
5051.144587 12.493093
5052.307029 12.489799
5053.471370 12.486500
5054.634762 12.483206
5055.800052 12.479908
5056.963444 12.476617
5058.125886 12.473331
5059.293076 12.470033
5060.456467 12.466747
5061.623658 12.463451
5062.787999 12.460166
5063.955189 12.456874
5065.120480 12.453589
5066.285771 12.450306
5067.453911 12.447016
5068.620151 12.443734
5069.788291 12.440447
5070.954532 12.437168
5072.124571 12.433879
5073.290812 12.430603
5074.458002 12.427326
5075.628041 12.424042
5076.796181 12.420766
5077.966221 12.417485
5079.134361 12.414212
5080.306300 12.410929
5081.474440 12.407659
5082.643529 12.404388
5083.815468 12.401110
5084.985507 12.397840
5086.157446 12.394565
5087.327486 12.391298
5088.501324 12.388022
5089.671363 12.384757
5090.842352 12.381492
5092.016191 12.378221
5093.188129 12.374956
5094.361968 12.371688
5095.534856 12.368424
5096.709644 12.365156
5097.881583 12.361898
5099.054471 12.358638
5100.230209 12.355373
5101.404047 12.352114
5102.579785 12.348852
5103.753623 12.345596
5104.931260 12.342332
5106.105098 12.339080
5107.282735 12.335819
5108.457523 12.332567
5109.632311 12.329317
5110.810898 12.326058
5111.986636 12.322809
5113.165222 12.319553
5114.341910 12.316304
5115.521446 12.313049
5116.698134 12.309803
5117.874821 12.306559
5119.055307 12.303306
5120.232944 12.300063
5121.413430 12.296813
5122.592017 12.293570
5123.772503 12.290324
5124.952040 12.287082
5126.130627 12.283844
5127.313012 12.280597
5128.492549 12.277359
5129.674934 12.274116
5130.854471 12.270881
5132.038756 12.267636
5133.219242 12.264402
5134.399728 12.261170
5135.584013 12.257929
5136.765449 12.254698
5137.949734 12.251460
5139.132119 12.248229
5140.316404 12.244994
5141.498790 12.241767
5142.682125 12.238538
5143.868310 12.235303
5145.051645 12.232078
5146.237830 12.228846
5147.421165 12.225624
5148.608299 12.222393
5149.792584 12.219171
5150.977819 12.215948
5152.164953 12.212722
5153.350187 12.209503
5154.539221 12.206274
5155.724456 12.203058
5156.913489 12.199833
5158.099674 12.196617
5159.286808 12.193400
5160.476791 12.190178
5161.663925 12.186964
5162.853908 12.183744
5164.041992 12.180531
5165.232925 12.177312
5166.421009 12.174103
5167.609093 12.170894
5168.800976 12.167678
5169.990009 12.164470
5171.181892 12.161256
5172.371875 12.158049
5173.564707 12.154836
5174.754691 12.151633
5175.944674 12.148430
5177.138456 12.145220
5178.329389 12.142018
5179.524121 12.138808
5180.715054 12.135609
5181.909785 12.132402
5183.102618 12.129202
5184.294500 12.126006
5185.490182 12.122801
5186.683014 12.119605
5187.878696 12.116403
5189.072478 12.113208
5190.269109 12.110007
5191.462891 12.106816
5192.657623 12.103623
5193.854254 12.100426
5195.049936 12.097234
5196.247517 12.094039
5197.443198 12.090849
5198.640779 12.087657
5199.837410 12.084468
5201.035941 12.081277
5202.232572 12.078091
5203.429203 12.074908
5204.629633 12.071715
5205.827214 12.068532
5207.027644 12.065343
5208.225225 12.062163
5209.425655 12.058977
5210.625135 12.055796
5211.823666 12.052618
5213.025046 12.049434
5214.224526 12.046257
5215.426855 12.043074
5216.626336 12.039900
5217.829615 12.036717
5219.030045 12.033544
5220.230475 12.030372
5221.433754 12.027194
5222.636084 12.024021
5223.840312 12.020844
5225.041692 12.017676
5226.245921 12.014502
5227.448250 12.011334
5228.651530 12.008166
5229.857658 12.004992
5231.059987 12.001829
5232.266116 11.998658
5233.470344 11.995493
5234.676473 11.992325
5235.880702 11.989164
5237.085880 11.986001
5238.292958 11.982836
5239.498137 11.979676
5240.706164 11.976511
5241.912293 11.973353
5243.121270 11.970188
5244.327398 11.967033
5245.533527 11.963879
5246.743454 11.960716
5247.950532 11.957563
5249.160459 11.954404
5250.367537 11.951254
5251.578414 11.948095
5252.787391 11.944943
5253.995419 11.941795
5255.206295 11.938641
5256.415273 11.935494
5257.628049 11.932338
5258.837026 11.929194
5260.049803 11.926041
5261.259730 11.922898
5262.470607 11.919753
5263.684332 11.916603
5264.895209 11.913461
5266.108935 11.910314
5267.320762 11.907173
5268.535437 11.904027
5269.747264 11.900889
5270.959090 11.897753
5272.174716 11.894608
5273.387492 11.891473
5274.604067 11.888329
5275.816843 11.885197
5277.033418 11.882056
5278.248094 11.878922
5279.461820 11.875792
5280.679345 11.872653
5281.894020 11.869524
5283.112495 11.866386
5284.328120 11.863257
5285.545645 11.860125
5286.762220 11.856997
5287.977845 11.853872
5289.197269 11.850740
5290.414794 11.847614
5291.634218 11.844484
5292.851743 11.841361
5294.072117 11.838233
5295.290591 11.835110
5296.510965 11.831985
5297.729440 11.828865
5298.948864 11.825745
5300.170188 11.822622
5301.389612 11.819505
5302.611885 11.816382
5303.832259 11.813266
5305.054532 11.810146
5306.274906 11.807033
5307.496230 11.803919
5308.720402 11.800799
5309.941726 11.797687
5311.165899 11.794571
5312.387222 11.791463
5313.612345 11.788346
5314.835568 11.785237
5316.057841 11.782131
5317.283913 11.779017
5318.507136 11.775912
5319.733208 11.772801
5320.956431 11.769699
5322.183453 11.766588
5323.408575 11.763485
5324.632748 11.760385
5325.860720 11.757277
5327.085842 11.754177
5328.313814 11.751072
5329.539886 11.747974
5330.768807 11.744869
5331.995829 11.741771
5333.221901 11.738677
5334.451772 11.735575
5335.678794 11.732482
5336.909614 11.729381
5338.137586 11.726288
5339.368407 11.723190
5340.596378 11.720100
5341.825299 11.717009
5343.057070 11.713913
5344.285991 11.710826
5345.518711 11.707730
5346.748582 11.704644
5347.981302 11.701551
5349.211173 11.698467
5350.441994 11.695383
5351.675664 11.692293
5352.906484 11.689211
5354.141104 11.686122
5355.372874 11.683041
5356.607494 11.679954
5357.840214 11.676874
5359.072934 11.673795
5360.308503 11.670711
5361.542173 11.667633
5362.778692 11.664549
5364.011412 11.661477
5365.248880 11.658394
5366.482550 11.655322
5367.718119 11.652247
5368.955588 11.649168
5370.190207 11.646099
5371.428626 11.643021
5372.664195 11.639952
5373.903563 11.636875
5375.140082 11.633807
5376.376601 11.630740
5377.615969 11.627667
5378.853437 11.624601
5380.093755 11.621529
5381.331224 11.618466
5382.572491 11.615395
5383.810909 11.612333
5385.049328 11.609272
5386.290595 11.606205
5387.529963 11.603145
5388.772180 11.600079
5390.011548 11.597022
5391.254715 11.593957
5392.495033 11.590900
5393.739150 11.587836
5394.979467 11.584782
5396.220735 11.575774
5397.464851 11.410203
5398.707068 10.002949
5399.951185 5.862569
6100.842770 6.943712
6102.246438 9.222942
6103.652954 9.912396
6105.057571 10.005258
6106.462188 10.007902
6107.869655 10.004543
6109.275221 10.001189
6110.683637 9.997831
6112.090154 9.994479
6113.499519 9.991123
6114.906036 9.987775
6116.315402 9.984422
6117.722868 9.981075
6119.130334 9.977731
6120.541599 9.974379
6121.949065 9.971038
6123.360330 9.967690
6124.769696 9.964349
6126.181911 9.961002
6127.591276 9.957665
6129.000642 9.954329
6130.414756 9.950984
6131.825072 9.947649
6133.238236 9.944310
6134.649501 9.940977
6136.063615 9.937640
6137.475830 9.934308
6138.888045 9.930979
6140.303109 9.927645
6141.716273 9.924317
6143.132287 9.920984
6144.545451 9.917660
6145.962414 9.914329
6147.376529 9.911006
6148.790643 9.907686
6150.207606 9.904360
6151.622670 9.901041
6153.041533 9.897715
6154.457546 9.894397
6155.876409 9.891075
6157.292422 9.887761
6158.709386 9.884447
6160.129198 9.881128
6161.546161 9.877817
6162.966924 9.874500
6164.384837 9.871191
6165.806548 9.867875
6167.224461 9.864570
6168.643324 9.861264
6170.065986 9.857952
6171.485798 9.854648
6172.908460 9.851339
6174.328272 9.848039
6175.751883 9.844731
6177.173595 9.841430
6178.594357 9.838133
6180.018918 9.834830
6181.440630 9.831534
6182.866141 9.828232
6184.288802 9.824938
6185.714313 9.821640
6187.137924 9.818347
6188.560586 9.815059
6189.987996 9.811762
6191.411607 9.808475
6192.839967 9.805179
6194.264528 9.801894
6195.692887 9.798602
6197.117448 9.795320
6198.543909 9.792036
6199.973218 9.788748
6201.399679 9.785467
6202.828988 9.782182
6204.256398 9.778904
6205.686657 9.775620
6207.114067 9.772345
6208.542427 9.769070
6209.974586 9.765787
6211.402946 9.762516
6212.835104 9.759237
6214.264414 9.755967
6215.697522 9.752690
6217.126832 9.749424
6218.558040 9.746155
6219.991149 9.742883
6221.422358 9.739618
6222.857365 9.736346
6224.288574 9.733084
6225.724532 9.729814
6227.155741 9.726556
6228.592648 9.723287
6230.024806 9.720031
6231.457915 9.716774
6232.894822 9.713511
6234.328880 9.710255
6235.766737 9.706994
6237.201744 9.703740
6238.639601 9.700482
6240.074609 9.697232
6241.510566 9.693982
6242.949373 9.690727
6244.385330 9.687480
6245.826036 9.684225
6247.261994 9.680982
6248.702700 9.677730
6250.140557 9.674487
6251.578414 9.671245
6253.020069 9.667997
6254.457926 9.664759
6255.900531 9.661512
6257.340288 9.658273
6258.782893 9.655030
6260.222649 9.651795
6261.662406 9.648562
6263.106910 9.645320
6264.547616 9.642088
6265.992121 9.638850
6267.433777 9.635620
6268.879231 9.632383
6270.320887 9.629157
6271.763492 9.625930
6273.209897 9.622697
6274.653452 9.619471
6276.099856 9.616242
6277.543411 9.613020
6278.990765 9.609792
6280.435270 9.606572
6281.880724 9.603352
6283.329028 9.600127
6284.774483 9.596910
6286.223736 9.593687
6287.670140 9.590472
6289.120343 9.587250
6290.566747 9.584038
6292.014101 9.580827
6293.465254 9.577608
6294.912608 9.574400
6296.363761 9.571185
6297.813014 9.567976
6299.265116 9.564763
6300.714370 9.561558
6302.163623 9.558355
6303.616675 9.555145
6305.066878 9.551943
6306.520880 9.548735
6307.972033 9.545535
6309.426035 9.542330
6310.878137 9.539131
6312.329290 9.535936
6313.785191 9.532733
6315.237294 9.529540
6316.694145 9.526338
6318.147197 9.523146
6319.604048 9.519947
6321.058050 9.516757
6322.512052 9.513569
6323.969852 9.510374
6325.424804 9.507187
6326.883554 9.503993
6328.338506 9.500810
6329.798206 9.497618
6331.254107 9.494436
6332.710958 9.491254
6334.171608 9.488066
6335.628459 9.484887
6337.089109 9.481702
6338.546910 9.478525
6340.008509 9.475342
6341.467260 9.472167
6342.929809 9.468985
6344.388559 9.465813
6345.848260 9.462641
6347.311759 9.459462
6348.772408 9.456292
6350.235907 9.453117
6351.696557 9.449950
6353.161955 9.446774
6354.622605 9.443611
6356.085155 9.440445
6357.550553 9.437275
6359.013102 9.434113
6360.479450 9.430945
6361.942949 9.427784
6363.410247 9.424617
6364.873746 9.421460
6366.338195 9.418303
6367.806442 9.415139
6369.270891 9.411986
6370.739138 9.408826
6372.205486 9.405672
6373.674683 9.402514
6375.141032 9.399364
6376.607380 9.396216
6378.077527 9.393062
6379.544824 9.389915
6381.015921 9.386763
6382.484168 9.383619
6383.956215 9.380469
6385.424462 9.377329
6386.893659 9.374190
6388.365706 9.371047
6389.835853 9.367911
6391.309798 9.364770
6392.779945 9.361640
6394.253891 9.358505
6395.724988 9.355380
6397.196084 9.352259
6398.671929 9.349133
6400.143026 9.346022
6401.619821 9.342905
6403.091867 9.339804
6404.568662 9.336701
6406.041658 9.333614
6407.515604 9.330536
6408.993348 9.327461
6410.467294 9.324407
6411.945988 9.321358
6413.420884 9.318335
6414.899578 9.315324
6416.375423 9.312343
6417.851268 9.309389
6419.330912 9.306459
6420.808657 9.303570
6422.289250 9.300717
6423.766045 9.297920
6425.247589 9.295171
6426.726283 9.292492
6428.204028 9.289888
6429.686521 9.287362
6431.165215 9.284940
6432.648658 9.282623
6434.128302 9.280440
6435.612694 9.278396
6437.093288 9.276523
6438.573882 9.274839
6440.058274 9.273364
6441.539817 9.272133
6443.025160 9.271173
6444.507653 9.270522
6445.993945 9.270216
6447.476438 9.270298
6448.959881 9.270812
6450.447122 9.271813
6451.930565 9.273351
6453.418756 9.275496
6454.903149 9.278301
6456.391340 9.281851
6457.876682 9.286208
6459.365823 9.291473
6460.852115 9.297714
6462.338407 9.305035
6463.828498 9.313558
6465.315740 9.323353
6466.806780 9.334578
6468.294022 9.347297
6469.785062 9.361704
6471.274203 9.377874
6472.762395 9.395949
6474.255335 9.416147
6475.744476 9.438501
6477.238365 9.463298
6478.727506 9.490529
6480.222345 9.520542
6481.712436 9.553287
6483.203477 9.589036
6484.699266 9.628062
6486.190306 9.670264
6487.687045 9.716092
6489.179035 9.765373
6490.675774 9.818563
6492.168714 9.875498
6493.662603 9.936460
6495.159342 10.001647
6496.653231 10.070905
6498.151870 10.144678
6499.646709 10.222607
6501.145347 10.305120
6502.641136 10.391871
6504.136925 10.483009
6505.636513 10.578759
6507.133252 10.678631
6508.633789 10.782990
6510.131477 10.891273
6511.632015 11.003785
6513.130653 11.120041
6514.629291 11.240084
6516.130778 11.364130
6517.630366 11.491927
6519.132803 11.624272
6520.632391 11.761530
6522.135778 11.905950
6523.637265 12.059872
6525.137803 12.227956
6526.642139 12.417963
6528.143626 12.639797
6529.648912 12.910083
6531.151349 13.248804
6532.657585 13.685783
6534.160022 14.254932
6535.663409 15.001544
6537.170594 15.978045
6538.673981 17.234154
6540.182116 18.833504
6541.686452 20.816040
6543.194587 23.227532
6544.699873 26.072602
6546.206109 29.343118
6547.716144 32.993621
6549.221430 36.912499
6550.732414 40.980722
6552.238650 44.648203
6553.750584 45.346953
6555.257770 38.165436
6556.765905 26.163589
6558.277839 23.333895
6559.786924 41.251842
6561.298858 79.190780
6562.808892 107.246351
6564.321776 100.788282
6565.831811 78.734444
6567.342795 62.823283
6568.856628 53.138539
6570.367613 45.875999
6571.883346 40.119699
6573.395280 35.744125
6574.911012 32.429055
6576.423896 29.858237
6577.939629 27.750080
6579.453462 25.906388
6580.966346 24.173842
6582.483978 22.454843
6583.998762 20.734840
6585.516394 19.044970
6587.031177 17.464510
6588.550709 16.062333
6590.066442 14.898732
6591.582174 13.983979
6593.102656 13.297006
6594.619338 12.799782
6596.139820 12.439763
6597.657452 12.173575
6599.178883 11.964465
6600.696515 11.789226
6602.215097 11.632484
6603.737478 11.485749
6605.257010 11.345574
6606.780340 11.209549
6608.299872 11.077661
6609.824152 10.949035
6611.344634 10.824483
6612.865115 10.703818
6614.390345 10.586855
6615.911776 10.474403
6617.437956 10.365947
6618.960336 10.262218
6620.486516 10.162744
6622.008897 10.068062
6623.533177 9.977832
6625.059357 9.892036
6626.583637 9.810862
6628.111716 9.733947
6629.636946 9.661542
6631.165975 9.593254
6632.691205 9.529287
6634.217384 9.469314
6635.746413 9.413133
6637.273542 9.360763
6638.803521 9.311909
6640.331600 9.266543
6641.862528 9.224371
6643.390607 9.185379
6644.918686 9.149311
6646.450564 9.115932
6647.979593 9.085206
6649.513370 9.056832
6651.042399 9.030818
6652.576176 9.006845
6654.107104 8.984888
6655.638032 8.964748
6657.171810 8.946261
6658.703688 8.929343
6660.239364 8.913813
6661.771242 8.899624
6663.307869 8.886584
6664.840696 8.874664
6666.373524 8.863727
6667.911100 8.853655
6669.444877 8.844414
6670.982453 8.835882
6672.518130 8.828017
6674.056656 8.820727
6675.591383 8.813981
6677.127059 8.807701
6678.667485 8.801823
6680.203161 8.796334
6681.744536 8.791157
6683.281163 8.786287
6684.822538 8.781661
6686.360114 8.777273
6687.901489 8.773075
6689.440964 8.769056
6690.979490 8.765192
6692.522764 8.761451
6694.062240 8.757834
6695.605514 8.754311
6697.145940 8.750881
6698.690164 8.747519
6700.231539 8.744228
6701.772914 8.740995
6703.318087 8.737802
6704.860412 8.734657
6706.406536 8.731540
6707.948860 8.728462
6709.495933 8.725401
6711.039208 8.722371
6712.583432 8.719357
6714.131455 8.716354
6715.675679 8.713372
6717.224651 8.710393
6718.769825 8.707432
6720.318798 8.704472
6721.864921 8.701526
6723.411045 8.698587
6724.961917 8.695645
6726.508990 8.692716
6728.059862 8.689783
6729.607885 8.686860
6731.159707 8.683934
6732.707729 8.681018
6734.256702 8.678103
6735.809474 8.675184
6737.359396 8.672273
6738.913117 8.669357
6740.463039 8.666450
6742.017710 8.663537
6743.568582 8.660633
6745.119454 8.657731
6746.675075 8.654821
6748.226896 8.651921
6749.783467 8.649014
6751.336238 8.646115
6752.893758 8.643210
6754.446530 8.640315
6756.000251 8.637419
6757.558720 8.634517
6759.112442 8.631625
6760.671861 8.628725
6762.226532 8.625835
6763.785951 8.622937
6765.342521 8.620047
6766.899092 8.617158
6768.459461 8.614264
6770.016031 8.611379
6771.577350 8.608486
6773.134870 8.605602
6774.697138 8.602711
6776.255608 8.599828
6777.814078 8.596948
6779.377296 8.594060
6780.936715 8.591180
6782.500883 8.588294
6784.060303 8.585418
6785.625420 8.582533
6787.185789 8.579658
6788.747108 8.576784
6790.313175 8.573902
6791.875444 8.571029
6793.441511 8.568150
6795.003780 8.565282
6796.570797 8.562442
6798.134965 8.559950
6799.698183 8.558769
